"sample.id","iguana.id","unique.id","sample.type","species","site","sex","tourism.level","visited","year","date","month","repro_month","repro_score","svl","tail","mass","glucose","progesterone","testosterone","e2","corticosterone","bacterial.killing.ability","glycerol","true.triglycerides","droms","antioxidants.index"
"G1","104A","104AFRRC","sample","inornata","FRRC","M","no","non-visited",2016,"6/25/2016","june","late","M",NA,"","",153,NA,"0.085",NA,79.525,11.71850456,NA,0,NA,NA
"F99T5","82A","82AFRRC","sample","inornata","FRRC","F","no","non-visited",2016,"9/10/2016","september","post","Post",22,"29.2","420",154,0.606,"1.376",0.668,17.721,3.47107438,0,27.67619681,0.833367243,292.1052632
"F98","81A","81AFRRC","sample","inornata","FRRC","M","no","non-visited",2016,"9/10/2016","september","post","M",20.5,"27.8","410",132,NA,"0.739",NA,23.442,0,0,36.61070479,1.028687691,309.6
"F97","74A","74AFRRC","sample","inornata","FRRC","M","no","non-visited",2016,"9/10/2016","september","post","M",25.5,"33.3","760",128,NA,"0.48",NA,22.392,5.785123967,13.80952381,21.15192819,0.859409969,308.4
"F96","35A","35AFRRC","sample","inornata","FRRC","M","no","non-visited",2016,"9/10/2016","september","post","M",45.1,"53.7","3970",114,NA,"1.679",NA,5.989,16.85950413,79.52380952,51.73703457,2.395930824,303.6
"F95","28B","28BFRRC","sample","inornata","FRRC","M","no","non-visited",2016,"9/10/2016","september","post","M",38.3,"48.7","2475",205,NA,"1.311",NA,4.256,2.479338843,16.9047619,20.23769947,0.585961343,326.4
"F94","16A","16AFRRC","sample","inornata","FRRC","F","no","non-visited",2016,"9/10/2016","september","post","Post",31,"41","1235",135,0.055,"0.647",0.548,3.055,4.297520661,24.52380952,48.9943484,1.484435402,301.4354067
"F93T1","72A","72AFRRC","sample","inornata","FRRC","F","no","non-visited",2016,"9/9/2016","september","post","Post",26.3,"34.9","850",129,1.746,"0.955",0.791,97.988,2.975206612,9.761904762,36.02892287,0.559918616,290.6698565
"F92T2","32A","32AFRRC","sample","inornata","FRRC","M","no","non-visited",2016,"9/9/2016","september","post","M",34.8,"44.7","1695",123,NA,"1.939",NA,NA,2.975206612,15.71428571,17.7443484,0.625025432,308.4
"F91T3","77A","77AFRRC","sample","inornata","FRRC","F","no","non-visited",2016,"9/9/2016","september","post","Post",19.1,"24.8","270",117,0.663,"",NA,40.976,4.132231405,25.95238095,24.10239362,3.593896236,NA
"F90T4","98A","98AFRRC","sample","inornata","FRRC","F","no","non-visited",2016,"9/9/2016","september","post","Post",19.6,"23.5","340",142,0.089,"1.522",0.302,31.116,0,3.095238095,4.737367021,0.625025432,300
"F89","31A","31AFRRC","sample","inornata","FRRC","M","no","non-visited",2016,"9/9/2016","september","post","M",38.8,"47.7","2280",118,NA,"0.392",NA,14.114,8.760330579,23.33333333,33.61868351,2.578229908,312
"F88","38A","38AFRRC","sample","inornata","FRRC","M","no","non-visited",2016,"9/9/2016","september","post","M",44,"52.3","3580",107,NA,"2.27",NA,27.574,13.2231405,0,27.84242021,4.5965412,309.6
"F87","54A","54AFRRC","sample","inornata","FRRC","M","no","non-visited",2016,"9/9/2016","september","post","M",42.1,"53.1","2735",125,NA,"3.093",NA,38.805,6.611570248,4.523809524,39.89361702,1.054730417,345.2192982
"F86","33A","33AFRRC","sample","inornata","FRRC","F","no","non-visited",2016,"9/9/2016","september","post","Post",34.1,"46.7","1480",121,0.725,"1.079",0.449,28.283,4.462809917,6.19047619,17.53656915,0.651068159,356.4035088
"F85","159A","159AFRRC","sample","inornata","FRRC","M","no","non-visited",2016,"9/9/2016","september","post","M",31.3,"40.8","1350",105,NA,"1.204",NA,26.114,3.140495868,19.76190476,19.07413564,1.250050865,338.5087719
"F84","152A","152AFRRC","sample","inornata","FRRC","M","no","non-visited",2016,"9/9/2016","september","post","M",26.5,"35.2","805",115,NA,"0.644",NA,15.96,4.132231405,23.2967033,14.86358619,2.044354018,292.2807018
"F80","85","85LC","sample","figginsi","LC","F","high","visited",2016,"9/6/2016","september","post","Post",28.6,"41.8","920",143,0.708,"1.036",0.841,2.896,24.98113208,NA,NA,9.564687336,301.4354067
"F79","92","92LC","sample","figginsi","LC","F","high","visited",2016,"9/6/2016","september","post","Post",31,"22.3/32.0","1265",129,0.056,"1.294",1.713,9.245,30.11320755,121.257485,105.2292535,12.48386758,292.1052632
"F77","90","90LC","sample","figginsi","LC","F","high","visited",2016,"9/6/2016","september","post","Post",30.1,"41.2","1185",145,0.41,"0.424",2.112,7.451,72.52830189,101.7029328,96.24013616,9.753021545,294.2583732
"F75","91","91LC","sample","figginsi","LC","F","high","visited",2016,"9/6/2016","september","post","Post",31.3,"44.9","1305",122,0.21,"0.616",0.754,7.667,25.73584906,102.8855251,85.0224354,9.335995796,NA
"F74","32","32LC","sample","figginsi","LC","M","high","visited",2016,"9/6/2016","september","post","M",30,"44.6","1365",144,NA,"0.184",NA,0.818,39.62264151,121.8070009,130.8602816,12.26862848,294.1504178
"F73","58","58LC","sample","figginsi","LC","M","high","visited",2016,"9/6/2016","september","post","M",41.6,"52.9",".",125,NA,"12.017",NA,1.775,13.66037736,38.31598865,62.85780597,6.120861797,297.4930362
"F72","88","88LC","sample","figginsi","LC","M","high","visited",2016,"9/6/2016","september","post","M",27.7,"39.8","890",149,NA,"3.793",NA,10.959,38.26415094,78.05108798,123.5107535,10.53326327,295.821727
"F71","99","99LC","sample","figginsi","LC","F","high","visited",2016,"9/6/2016","september","post","Post",30.5,"44","1245",144,0.038,"0.616",1.856,1.985,5.509433962,17.97540208,35.54850689,3.29584866,297.1291866
"F70","94","94LC","sample","figginsi","LC","M","high","visited",2016,"9/6/2016","september","post","M",32.1,"40.2","1310",141,NA,"6.206",NA,13.183,16.22641509,35.95080416,63.24462324,8.676826064,322.8
"F69","96","96LC","sample","figginsi","LC","M","high","visited",2016,"9/6/2016","september","post","M",37.2,"50.4","2190",126,NA,"5.368",NA,0.828,13.96226415,14.19110691,36.67027696,5.515501839,310.8
"F68","86","86LC","sample","figginsi","LC","F","high","visited",2016,"9/6/2016","september","post","Post",27.8,"39.6","895",141,0.315,"0.346",0.971,0.906,13.05660377,29.32828761,48.42952189,3.847398844,294.2583732
"F67","93","93LC","sample","figginsi","LC","M","high","visited",2016,"9/6/2016","september","post","M",39,"53.3","3045",144,NA,"4.597",NA,0.767,17.58490566,61.0217597,49.35788334,5.636573831,308.4
"F66","97","97LC","sample","figginsi","LC","M","high","visited",2016,"9/6/2016","september","post","M",35.7,"48.6","1940",128,NA,"2.828",NA,0.813,51.24528302,140.2554399,130.5895095,16.10257488,310.8
"F65","45","45LC","sample","figginsi","LC","F","high","visited",2016,"9/6/2016","september","post","Post",28.1,"40.5","910",189,0.836,"0.622",1.639,1.442,26.33962264,91.2961211,75.97091134,6.09395691,299.2822967
"F64","87","87LC","sample","figginsi","LC","F","high","visited",2016,"9/6/2016","september","post","Post",29.7,"38.9","1050",130,0.539,"0.99",0.491,27.941,19.54716981,62.91390728,119.2944453,10.3583815,292.1052632
"F63","53","53LC","sample","figginsi","LC","F","high","visited",2016,"9/6/2016","september","post","Post",32,"45.9","1620",131,0.043,"6.768",0.279,0.906,40.52830189,98.39167455,119.1010367,14.25959012,297.1291866
"F62","4","4LC","sample","figginsi","LC","F","high","visited",2016,"9/6/2016","september","post","Post",38.8,"50.5","2515",136,0.824,"0.759",1.182,1.065,18.49056604,34.29517502,54.46387127,6.36300578,282.7751196
"F61","98","98LC","sample","figginsi","LC","M","high","visited",2016,"9/6/2016","september","post","M",40,"50.6","3125",143,NA,"0.502",NA,1.845,19.24528302,21.52317881,53.92232709,5.86526537,306
"F60","100","100LC","sample","figginsi","LC","M","high","visited",2016,"9/6/2016","september","post","M",35.8,"49.6","1950",133,NA,"2.119",NA,0.838,14.56603774,25.07095553,46.37939038,6.793483973,304.8
"F46","93/0A","93/0AUC","sample","inornata","UC","M","moderate","visited",2016,"6/26/2016","june","late","M",21.5,"28.6","370",172,NA,"4.359",NA,17.36,65.8184103,41.01194217,107.6749629,7.031657356,298.2283465
